epoch,f1
1,0.0969
2,0.0955
3,0.0956
4,0.099
5,0.1026
6,0.1067
7,0.1061
8,0.10839999999999998
9,0.1086
10,0.1122
11,0.1145
12,0.11240000000000001
13,0.1201
14,0.1123
15,0.1145
16,0.1214
17,0.1263
18,0.1277
19,0.1333
20,0.1329
21,0.1356
22,0.1309
23,0.1313
24,0.1344
25,0.1347
26,0.1399
27,0.141
28,0.1406
29,0.1484
30,0.1526
31,0.1537
32,0.1523
33,0.1506
34,0.1541
35,0.1569
36,0.16
37,0.1574
38,0.1671
39,0.1636
40,0.1623
41,0.1696
42,0.1736
43,0.1769
44,0.1692
45,0.1655
46,0.1715
47,0.1802
48,0.1812
49,0.18249999999999997
50,0.1692
51,0.187
52,0.184
53,0.1861
54,0.1849
55,0.1893
56,0.1861
57,0.19249999999999998
58,0.1853
59,0.1828
60,0.1894
61,0.1998
62,0.19600000000000004
63,0.1938
64,0.2007
65,0.19939999999999997
66,0.19390000000000002
67,0.1963
68,0.2063
69,0.2018
70,0.197
71,0.1973
72,0.19600000000000004
73,0.2044
74,0.2077
75,0.2034
76,0.2087
77,0.19850000000000004
78,0.2075
79,0.2053
80,0.21060000000000004
81,0.2068
82,0.2145
83,0.2094
84,0.2068
85,0.2162
86,0.2083
87,0.2108
88,0.2149
89,0.2008
90,0.2088
91,0.2133
92,0.21840000000000004
93,0.2256
94,0.22400000000000003
95,0.228
96,0.223
97,0.2233
98,0.21929999999999997
99,0.2245
100,0.2237
101,0.2278
102,0.2256
103,0.2349
104,0.2387
105,0.2296
106,0.2301
107,0.2333
108,0.2283
109,0.2301
110,0.242
111,0.2407
112,0.2373
113,0.2393
114,0.2342
115,0.246
116,0.2495
117,0.2437
118,0.2475
119,0.242
120,0.2415
121,0.2465
122,0.2397
123,0.2427
124,0.2412
125,0.251
126,0.2466
127,0.2497
128,0.2489
129,0.2547
130,0.255
131,0.2519
132,0.2479
133,0.2492
134,0.2563
135,0.2569
136,0.2567
137,0.2617
138,0.2645
139,0.2645
140,0.2589
141,0.2595
142,0.2591
143,0.2609
144,0.2655
145,0.2667
146,0.2633
147,0.2666
148,0.2583
149,0.2711
150,0.2671
151,0.2733
152,0.2657
153,0.2693
154,0.2762
155,0.2674
156,0.2744
157,0.271
158,0.2725
159,0.2785
160,0.2734
161,0.2762
162,0.2706
163,0.2801
164,0.2683
165,0.2671
166,0.2811
167,0.2846
168,0.2765
169,0.2755
170,0.2833
171,0.2723
172,0.2779
173,0.278
174,0.277
175,0.2788
176,0.2825
177,0.2841
178,0.2831
179,0.2824
180,0.2803
181,0.2837
182,0.2818
183,0.2814
184,0.288
185,0.2839
186,0.2821
187,0.2847
188,0.285
189,0.2881
189,0.2832
190,0.2866
191,0.295
192,0.2947
193,0.2968
194,0.2971
195,0.2993
196,0.2888
197,0.2948
198,0.2944
199,0.2698
200,0.2877
201,0.2807
202,0.29
203,0.2883
204,0.2963
205,0.2908
206,0.305
206,0.301
207,0.3032
208,0.2964
209,0.3049
210,0.3024
211,0.2983
212,0.3026
213,0.3022
214,0.296
215,0.3037
216,0.2898
217,0.3022
218,0.2911
219,0.3002
220,0.3032
221,0.3004
222,0.3026
223,0.3076
224,0.3116
225,0.3099
226,0.3104
227,0.3117
228,0.3118
229,0.3165
230,0.3098
231,0.3129
232,0.3155
233,0.3175
234,0.3122
235,0.3046
236,0.2954
237,0.3137
238,0.3155
239,0.3099
240,0.3183
241,0.3199
242,0.3172
243,0.3117
244,0.3128
245,0.3222
246,0.3221
247,0.31
248,0.3116
249,0.3135
250,0.3117
251,0.329
252,0.3211
253,0.3236
254,0.3156
255,0.3191
256,0.3311
257,0.3292
258,0.3265
259,0.3313
260,0.332
261,0.3273
262,0.3258
263,0.3302
264,0.3255
265,0.3229
266,0.3337
267,0.3264
268,0.3381
269,0.3181
270,0.329
271,0.3343
272,0.3298
273,0.331
274,0.3341
275,0.3215
276,0.3244
277,0.335
278,0.3267
279,0.3355
280,0.342
281,0.3454
282,0.3406
283,0.33
284,0.3398
285,0.3379
286,0.3362
287,0.3325
288,0.3397
289,0.3365
290,0.3366
291,0.3399
292,0.3401
293,0.335
294,0.3418
295,0.3422
296,0.338
297,0.3297
298,0.3428
299,0.3464
300,0.3532
301,0.344
302,0.3389
303,0.3516
304,0.3407
305,0.3394
306,0.3378
307,0.345
308,0.3472
309,0.3452
310,0.3467
311,0.3517
312,0.3533
313,0.3433
314,0.3525
315,0.3426
316,0.35
317,0.3542
318,0.3576
319,0.3485
320,0.3486
321,0.3574
322,0.3553
323,0.3504
324,0.3456
325,0.3511
326,0.3453
327,0.3515
328,0.3411
329,0.3465
330,0.35550000000000004
331,0.3616
332,0.3567
333,0.3574
334,0.3597
335,0.3519
336,0.3532
337,0.3545
338,0.3613
339,0.3591
340,0.3618
341,0.3587000000000001
342,0.352
343,0.36390000000000006
344,0.36310000000000003
345,0.36
346,0.3669
347,0.3452
348,0.3325
349,0.3567
350,0.3564
351,0.3623
352,0.3614
353,0.36669999999999997
354,0.369
355,0.3655
356,0.3584
357,0.36250000000000004
358,0.3658
359,0.3662
360,0.3542
361,0.3693
362,0.3643
363,0.3677000000000001
364,0.3698
365,0.3678
366,0.3689
367,0.369
368,0.3699
369,0.3665
370,0.3647
371,0.3704
372,0.3693
373,0.3741
374,0.3685
375,0.3674
376,0.3636
377,0.3716
378,0.3735
379,0.36390000000000006
380,0.3765
381,0.3632
382,0.3802
383,0.3715
384,0.37109999999999993
385,0.3755
386,0.3766
387,0.3739
388,0.3648
389,0.3751
390,0.3776
391,0.3832999999999999
392,0.3714
393,0.3589
394,0.3796999999999999
395,0.372
396,0.3744
397,0.3738
398,0.3762
399,0.37370000000000003
400,0.3813
401,0.3759
402,0.3739
403,0.3832999999999999
404,0.3842
405,0.3793
406,0.3824
407,0.3761
408,0.3859
409,0.3742
410,0.3815
411,0.384
412,0.3809
413,0.3786
414,0.3733
415,0.38039999999999996
416,0.3819
417,0.3793
418,0.3796
419,0.3852
420,0.38230000000000003
421,0.3796999999999999
422,0.3827
423,0.3889
424,0.38610000000000005
425,0.3862999999999999
426,0.38720000000000004
427,0.3849
428,0.3856
429,0.3803
430,0.38809999999999995
431,0.3808
432,0.3839
433,0.3847
434,0.3852
435,0.38499999999999995
436,0.3811
437,0.3822
438,0.3885
439,0.3836
440,0.3971
441,0.37889999999999996
442,0.38969999999999994
443,0.3891
444,0.3791
445,0.38720000000000004
446,0.3928
447,0.39
448,0.3877
449,0.394
450,0.3886
451,0.38739999999999997
452,0.3949
453,0.3896
454,0.3926
455,0.38710000000000006
456,0.3898
457,0.3889
458,0.3852
459,0.3835
460,0.3953
461,0.38499999999999995
462,0.3856
463,0.3845
464,0.39019999999999994
465,0.3937
466,0.3985
467,0.3966
468,0.3898
469,0.3928
470,0.3934
471,0.3941
472,0.3953
